,name,food_interactions,drug_index,cleaned_text,interaction,interaction_count
0,Lepirudin,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include chamomile, garlic, ginger, ginkgo and ginseng.']",0,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include chamomile, garlic, ginger, ginkgo and ginseng.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
2,Bivalirudin,"['Avoid echinacea.', 'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",1,"'Avoid echinacea.', 'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'",'Avoid echinacea,0
3,Bivalirudin,"['Avoid echinacea.', 'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",1,"'Avoid echinacea.', 'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'","', 'Avoid herbs and supplements with anticoagulant/antiplatelet activity",0
5,Peginterferon alfa-2a,['Drink plenty of fluids.'],2,'Drink plenty of fluids.','Drink plenty of fluids,0
7,Alteplase,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",3,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
9,Interferon alfa-n1,['Avoid alcohol.'],4,'Avoid alcohol.','Avoid alcohol,0
11,Darbepoetin alfa,"['Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.']",5,"'Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.'",'Administer iron supplement,0
12,Darbepoetin alfa,"['Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.']",5,"'Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.'","When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated",0
13,Darbepoetin alfa,"['Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.']",5,"'Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.'",Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent,0
15,Urokinase,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",6,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
