,name,drug_index,interaction
0,Lepirudin,0,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
1,Bivalirudin,1,'Avoid echinacea
2,Bivalirudin,1,"', 'Avoid herbs and supplements with anticoagulant/antiplatelet activity"
3,Peginterferon alfa-2a,2,'Drink plenty of fluids
4,Alteplase,3,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
5,Interferon alfa-n1,4,'Avoid alcohol
6,Darbepoetin alfa,5,'Administer iron supplement
7,Darbepoetin alfa,5,"When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated"
8,Darbepoetin alfa,5,Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent
9,Urokinase,6,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
10,Reteplase,7,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
11,Erythropoietin,8,'Administer iron supplement
12,Erythropoietin,8,"When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated"
13,Erythropoietin,8,Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent
14,Salmon calcitonin,9,'Administer calcium supplement
15,Salmon calcitonin,9,Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation)
16,Salmon calcitonin,9,"', 'Administer vitamin supplements"
17,Salmon calcitonin,9,Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily
18,Peginterferon alfa-2b,10,'Limit caffeine intake
19,Peginterferon alfa-2b,10,Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway
20,Anistreplase,11,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
21,Insulin human,12,'Avoid alcohol
22,Insulin human,12,Alcohol may impair blood glucose control
23,Tenecteplase,13,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
24,Interferon gamma-1b,14,'Avoid excessive or chronic alcohol consumption
25,Interferon gamma-1b,14,"Interferon gamma-1b may cause fatigue, drowsiness, and confusion"
